logFC,AveExpr,t,P.Value,adj.P.Val,B,symbol
-0.05867684844844206,4.8667850867250895,-5.5724487424814315,8.167759574456644e-7,0.018116907512102282,5.1529473931066185,IFNL1
-0.026525038195416458,4.435650456422162,-5.275594057170086,2.3926262053125647e-6,0.01982190922119903,4.0990337270790835,NEURL1B
0.02535733850447907,4.67099875673412,5.2439311374397795,2.68093087162874e-6,0.01982190922119903,3.987652176409215,INPP5A
0.12696906522618506,5.667503506009125,5.112326782085328,4.293294931725146e-6,0.023807393720148867,3.5270645442777617,SNORD18A
-0.022026228838907706,4.811161809589759,-4.8296978111905045,1.1661522612094272e-5,0.04870830854000496,2.5520760946650007,KRT33A
-0.030580444074769026,5.220526894694522,-4.794814870116232,1.3175684199992325e-5,0.04870830854000496,2.4332058507619454,PAQR4
-0.029496214008992702,5.586410612853129,-4.707657842739754,1.785154660707883e-5,0.056566450755945075,2.137722907145397,MICB
-0.027863620315059665,5.019939365430356,-4.638338227419931,2.2697866170142284e-5,0.058337117755250315,1.9043205035646569,RBMS2
-0.028605229078478206,4.681059009354154,-4.626191624354987,2.367044135959843e-5,0.058337117755250315,1.8635735421729347,ATP1A4
-0.020202857758744676,4.998224925445353,-4.585060146455308,2.7276000963821997e-5,0.06050089773785357,1.725936343045083,GAS6
-0.02854319745638607,5.677513475214492,-4.51303925099371,3.4922960987998984e-5,0.06941966799577826,1.4862364040376406,CISD3
-0.02848160869890135,5.2852642050071,-4.490737950821606,3.768924680383233e-5,0.06941966799577826,1.4123572667075965,TMEM150B
-0.02976673045382784,4.4627792252574805,-4.441155469268759,4.4627195364238884e-5,0.06941966799577826,1.2486993604000283,ETV4
-0.017685499501457286,5.3153127852745765,-4.441055864730283,4.464231370178151e-5,0.06941966799577826,1.2483714335999991,MTX1
-0.02471397957901822,3.5625234643108157,-4.417478937824253,4.836490993708329e-5,0.06941966799577826,1.1708453346132313,IFNAR1
-0.03287987094873199,4.111846199766788,-4.376052543566349,5.56509898599283e-5,0.06941966799577826,1.0350941255962578,ASPRV1
-0.022714175589917587,5.335280263158551,-4.348249954813508,6.112886203347814e-5,0.06941966799577826,0.9443267212257247,MMP2
0.031165084061987067,3.556381264956385,4.329123465810102,6.51982286899431e-5,0.06941966799577826,0.8820449700731476,TOGARAM1
-0.022774971871264742,6.055719605650252,-4.322666524728573,6.663058755919556e-5,0.06941966799577826,0.861049011643356,BOLA1
-0.03149687822452164,5.687629823935241,-4.32013008401465,6.720158323747539e-5,0.06941966799577826,0.8528054363667561,HLA-DQB2
-0.03149687822452164,5.687629823935241,-4.32013008401465,6.720158323747539e-5,0.06941966799577826,0.8528054363667561,HLA-DQB2
-0.02691379284338534,4.676149038395652,-4.31290966188541,6.885319399067317e-5,0.06941966799577826,0.8293514732738654,IL22RA1
-0.029862674887975227,5.411621496545881,-4.271400734475622,7.914147128811008e-5,0.07050255218412758,0.6948898338746083,MICB
-0.018517442339869572,4.6144587557498085,-4.270867552878694,7.928288273615135e-5,0.07050255218412758,0.6931668207474182,MS4A15
0.028916174107053508,6.145186054716539,4.270190616899689,7.946277465412693e-5,0.07050255218412758,0.6909794079223861,KCTD5
0.018948338460201046,3.8384822656454363,4.2482425853445,8.5515002049817e-5,0.07179941295148784,0.62015056686505865,FRY
0.075797159275119,6.010779452157487,4.2391933503970725,8.813861191352044e-5,0.07179941295148784,0.5910003192977351,SNORD4B
-0.020987740982804474,3.745894278705691,-4.2134617634290885,9.603302073493091e-5,0.07179941295148784,0.508280919356948,PRG2
-0.03547204679447503,6.1621387989614815,-4.204011261059339,9.910129347756461e-5,0.07179941295148784,0.47796381912809593,CIB2
0.03742460439458476,4.78443522011165,4.202688382308992,9.953830560242429e-5,0.07179941295148784,0.4737227753023969,RNPC3
0.018525426118723955,4.804185974038728,4.20025720303482,1.0034632349741324e-4,0.07179941295148784,0.46593036384678044,NBR2
-0.02227704568599859,4.771850204708999,-4.171013060447421,1.1057834743085672e-4,0.07498469371337102,0.37237618915408355,LSP1P5
0.020386187943867387,3.652919416332003,4.1604167555306875,1.1452984117611447e-4,0.07498469371337102,0.33855998982515967,LINC00630
0.03638181929532339,5.081044095527993,4.159337787857394,1.1493979470062733e-4,0.07498469371337102,0.33511912616468376,TCTN3
-0.019211365889987175,5.145097456886424,-4.135383480764889,1.2441620541140086e-4,0.07526364204466365,0.2588461513388207,MICA
-0.024490450477254684,5.624294139333539,-4.133127415625238,1.2534674038271513e-4,0.07526364204466365,0.25167430368444155,NTN3
-0.028746416783570775,5.7872802309901745,-4.1305188570965825,1.26431068488729e-4,0.07526364204466365,0.24338442920669312,IL27
0.031904325338448856,5.20362014495635,4.124565236029057,1.289400116179261e-4,0.07526364204466365,0.22447424971511065,MAPK8
-0.03297615103702776,5.4281176343882045,-4.099998608485144,1.3981223933861106e-4,0.07706047545995215,0.1465945021552928,FOXD4L6
-0.023158700850423774,4.6089511766953795,-4.088110632347765,1.45386960200121e-4,0.07706047545995215,0.10899514856766945,KCNG4
-0.023373381380684437,5.293684619672817,-4.078905095534293,1.4985094412284868e-4,0.07706047545995215,0.0799191909900685,SLC16A8
-0.028984214401386984,4.355776915679387,-4.074336327235468,1.5211540059387727e-4,0.07706047545995215,0.06550140951812011,PRR19
0.03440033957921501,5.074898690024594,4.072098621506116,1.5323653458283325e-4,0.07706047545995215,0.05844293019380853,ELP1
-0.04343963832024847,5.7626014739341835,-4.061624171496565,1.585915708649791e-4,0.07706047545995215,0.025430212889130388,MIR210HG
