logFC,AveExpr,t,P.Value,adj.P.Val,B,symbol
0.39648710859719,3.316440754233093,4.736341332547434,9.335940650728545e-5,0.5114966554784687,-0.22287330916443882,SEPSECS-AS1
0.2001395890852856,2.642367774398339,4.506958750880964,1.6463251579624033e-4,0.5114966554784687,-0.5255553054879707,FAM184A
0.22617456468066072,5.190697467774928,4.475880467149572,1.7779781358873975e-4,0.5114966554784687,-0.5670429317933294,SPON1
0.6938334763493329,6.947983719316845,4.356977350144784,2.3865762350465787e-4,0.5114966554784687,-0.7267407867164604,TUBB2B
0.2560003522768442,3.7627435107743623,4.326441238906572,2.573996209022428e-4,0.5114966554784687,-0.7679903985012455,ALDH5A1
0.3270356569787266,5.441849028605061,4.302524459304554,2.7309971868422586e-4,0.5114966554784687,-0.8003626591642128,ZNF890P
0.7722664733789009,6.874003810677239,4.255594011984508,3.0673886772522867e-4,0.5114966554784687,-0.8640440240775371,TUBB2A
-0.5904732977394626,4.303886607871787,-4.246605420358668,3.136385617847917e-4,0.5114966554784687,-0.8762643768455751,TIAM2
-0.44706695822482895,6.128908746738934,-4.235624672294989,3.222777964703545e-4,0.5114966554784687,-0.891203150387442,TSPAN33
0.30542740136492663,4.363445356448812,4.21208124478746,3.41608764760112e-4,0.5114966554784687,-0.9232693562227867,LOC729870
-1.0219499525976175,5.621838913601568,-4.189787516105124,3.609774343802688e-4,0.5114966554784687,-0.953678441947158,IDO1
0.22637271040115584,4.503830225165792,4.139467507305896,4.0880941468019567e-4,0.5114966554784687,-1.0224709326133654,ZSWIM8-AS1
0.27033247897430474,4.181612055844213,3.977475326384709,6.098574578404571e-4,0.5114966554784687,-1.2452491301573034,XGY2
0.3731387826230552,5.777511789332331,3.966363359326663,6.26794372229459e-4,0.5114966554784687,-1.2605966653678355,FBLN7
0.23505463857907982,4.983686344037694,3.9601709770296383,6.364342861431768e-4,0.5114966554784687,-1.2691527144700028,NAP1L3
0.31687958548612033,5.045795773137058,3.9555547167159193,6.437160524079919e-4,0.5114966554784687,-1.2755325446450825,LOC105374297
0.31942337437492535,5.069404486925699,3.9406813027919974,6.677437345962083e-4,0.5114966554784687,-1.2960967821033953,OAT
-1.059535117077218,4.416269344575699,-3.9115117825404573,7.174752222746465e-4,0.5114966554784687,-1.3364642283280594,CXCL10
0.15890666008239454,4.542836815551651,3.8627281265642424,8.089656958394122e-4,0.5114966554784687,-1.4040783190883919,FAM104B
0.18228906470822281,3.6136657805580024,3.8610675672518973,8.122750963646588e-4,0.5114966554784687,-1.4063819786064364,PM20D1
-0.7721901191734043,6.006336228330953,-3.812551680123043,9.150979821703247e-4,0.5114966554784687,-1.4737437396812245,RIPK2
-0.6698848588467718,5.667777187224075,-3.8123645326970586,9.155185133577495e-4,0.5114966554784687,-1.4740037863414717,MEFV
0.26901510718056565,6.083518853787452,3.807023162137326,9.27601655025203e-4,0.5114966554784687,-1.4814263929061964,ZNF890P
0.26307005683514234,4.559088894828997,3.7945113946897173,9.565252753343203e-4,0.5114966554784687,-1.498817907798522,CDRT15L2
0.3059072164023673,3.6065761917521537,3.792011486260422,9.624101504943173e-4,0.5114966554784687,-1.502293568903268,LOC101928894
0.235779016272872,4.86083744305541,3.777509655661842,9.97259462258808e-4,0.5114966554784687,-1.5224604968228919,C21orf58
0.1954845876774706,4.762803129656697,3.770901251197093,0.0010135502196554197,0.5114966554784687,-1.5316531027233924,PLVAP
0.22599341721711413,4.202810247356214,3.7641164310920265,0.0010305489262799504,0.5114966554784687,-1.5410927787684807,NAT1
-0.3056354664084483,6.1812396062632295,-3.7561516582142698,0.0010508628710664673,0.5114966554784687,-1.552176214383914,APOBEC3B
-0.6501990602552248,4.868499278247041,-3.754682654856257,0.0010546524152124641,0.5114966554784687,-1.5542206588105762,TFEC
0.19814930918860588,3.4520116673718837,3.718079860497525,0.001153547800052532,0.5114966554784687,-1.605184487573922,ABCG2
0.22704322452399361,5.32264323560895,3.7109071832716856,0.001173971377492085,0.5114966554784687,-1.6151761838718035,SNAR-G2
0.24824869465198773,6.007292331780726,3.678260417233901,0.0012715186523651904,0.5114966554784687,-1.6606715231014215,ERF
0.25987489497622884,4.263978640398752,3.6759938469346958,0.0012785796992904302,0.5114966554784687,-1.663831129656426,LOC729870
0.20007913834702276,4.611485383067083,3.64453293891348,0.0013806651457534502,0.5114966554784687,-1.7076994160417294,KEL
0.3847342656116593,4.2305094617507075,3.6375573226548172,0.0014043627173751917,0.5114966554784687,-1.7174287217378121,MIR3936
-0.9669660730701485,6.027675011988127,-3.6372536221857135,0.0014054034783250772,0.5114966554784687,-1.7178523308306892,SLC7A7
0.2025857154857602,5.699430844662307,3.615858568443826,0.0014806617221659454,0.5114966554784687,-1.747698571181144,SLC9A1
-0.24310957301334984,4.259235320392375,-3.6132099804219413,0.0014902492886167517,0.5114966554784687,-1.7513938623226353,RAB12
-0.7607619564711201,5.905261979188358,-3.60797428430299,0.0015093815600811453,0.5114966554784687,-1.7586989579443615,PTAFR
0.20985378402036692,4.054704280956974,3.6075877842514013,0.0015108034273553653,0.5114966554784687,-1.759238236246814,MPRIP
0.22351921263322433,4.818305732923118,3.607346964886646,0.0015116900252335496,0.5114966554784687,-1.7595742492608655,LOC100287896
0.30966237380128486,3.341542362479037,3.6065114927119226,0.0015147698518793657,0.5114966554784687,-1.7607399817539315,OR6C1
-0.34226444759142155,6.085707522544312,-3.602487749748088,0.0015296891796910419,0.5114966554784687,-1.7663544285320922,IFI35
